,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
4,4,rio san juan,19.6439,-70.0763,77.74,68,9,9.51,DO,1682286213,Aparta hotel Mi Casa
5,5,west island,-12.1568,96.8225,80.58,89,40,8.05,CC,1682286213,Cocos Village Bungalows
10,10,awjilah,29.1081,21.2869,78.13,22,0,9.31,LY,1682286214,No hotel found
12,12,ilhabela,-23.7781,-45.3581,70.95,84,7,8.7,BR,1682286215,Vila Kebaya
37,37,avarua,-21.2078,-159.775,78.85,65,33,11.5,CK,1682286220,Paradise Inn
84,84,gunjur,13.2019,-16.7339,75.27,69,0,5.75,GM,1682286228,Footsteps Eco Lodge
92,92,nueva gerona,21.8833,-82.8,82.35,66,46,8.12,CU,1682286229,Hotel Bamboo
105,105,fort bragg,35.139,-79.006,74.82,32,0,9.22,US,1682286231,Airborne Inn Lodging
107,107,umm kaddadah,13.6017,26.6876,82.47,27,36,4.54,SD,1682286232,No hotel found
118,118,tidjikja,18.5564,-11.4271,84.58,14,0,9.51,MR,1682286233,No hotel found
123,123,georgetown,5.4112,100.3354,78.73,94,20,4.61,MY,1682286235,Page 63 hostel
124,124,ivins,37.1686,-113.6794,76.15,21,32,1.01,US,1682286235,Entrada Wellnes Center
133,133,haiku-pauwela,20.9219,-156.3051,80.62,51,20,9.22,US,1682286236,Inn At Mama's Fish House
136,136,mount isa,-20.7333,139.5,71.37,46,40,6.91,AU,1682286237,Ibis Styles
154,154,marsh harbour,26.5412,-77.0636,75.83,67,10,8.43,BS,1682286240,Lofty Fig Villas
169,169,sao joao da barra,-21.6403,-41.0511,71.69,74,15,8.43,BR,1682286245,Pousada Mediterrâneo
173,173,mawlamyinegyunn,16.3833,95.2667,80.78,85,0,3.06,MM,1682286245,No hotel found
175,175,nha trang,12.25,109.1833,78.8,84,12,6.13,VN,1682286246,Den Long Đỗ
181,181,san antonio de pale,-1.4014,5.6325,82.13,74,29,5.77,GQ,1682286247,No hotel found
182,182,porto murtinho,-21.6989,-57.8825,72.52,59,1,4.65,BR,1682286247,Hotel Saladero Cuê
183,183,ataq,14.5377,46.8319,72.14,67,35,7.9,YE,1682286248,الشارقة بلازا
186,186,luanda,-8.8368,13.2343,82.4,78,40,8.05,AO,1682286150,Hotel Forum
193,193,puerto baquerizo moreno,-0.9,-89.6,83.39,74,40,9.22,EC,1682285961,Dory's House
203,203,tierralta,8.1736,-76.0592,82.8,75,46,6.53,CO,1682286252,Hotel La Marqueza
211,211,homestead meadows north,31.8496,-106.1729,73.49,24,0,11.5,US,1682286254,No hotel found
221,221,ambon,-3.6954,128.1814,77.14,94,20,4.61,ID,1682286256,Hotel Hero
230,230,atafu village,-8.5421,-172.5159,83.61,73,34,4.97,TK,1682286258,No hotel found
239,239,nadi,-17.8,177.4167,82.4,65,20,3.44,FJ,1682286259,President Hotel
248,248,sao vicente,-23.9631,-46.3919,76.98,51,40,5.75,BR,1682286172,Pousada Vitória
254,254,barranca,-10.75,-77.7667,76.62,74,9,9.19,PE,1682286262,Emperador
261,261,arraial do cabo,-22.9661,-42.0278,73.26,73,0,3.44,BR,1682286263,No hotel found
267,267,mitsamiouli,-11.3847,43.2844,81.32,77,40,3.22,KM,1682286264,Hotel le Paradis
272,272,remire-montjoly,4.9167,-52.2667,77.04,94,0,3.44,GF,1682286265,Complexe Belova
277,277,tutong,4.8,114.65,80.69,91,41,3.2,BN,1682286266,No hotel found
283,283,itoman,26.1247,127.6694,71.62,85,20,6.91,JP,1682286267,No hotel found
285,285,hadibu,12.65,54.0333,81.79,76,17,1.68,YE,1682286268,No hotel found
321,321,antalaha,-14.9003,50.2788,74.52,93,43,4.07,MG,1682285997,Hôtel Florida
326,326,urucui,-7.2294,-44.5561,81.37,46,16,3.47,BR,1682286276,Formula Flat hotel
333,333,howrah,22.5892,88.3103,77.0,83,40,0.0,IN,1682286046,Sun India Guest House
338,338,tuy hoa,13.0833,109.3,74.03,91,9,3.94,VN,1682286278,Vinh Tuan Hotel
340,340,toliara,-23.35,43.6667,70.63,84,0,1.74,MG,1682286278,Ambary
371,371,jaleshwar,26.6471,85.8008,73.11,64,21,10.22,NP,1682286284,Bajeko Satuwa
383,383,bandarbeyla,9.4942,50.8122,81.43,70,27,4.81,SO,1682286286,No hotel found
394,394,kupang,-10.1667,123.5833,75.78,94,20,2.3,ID,1682286288,BIB & LANG GUEST HOUSE
401,401,saint-pierre,-21.3393,55.4781,78.48,73,0,5.75,RE,1682286289,Tropic Hotel
412,412,ta`u,-14.2336,-169.5144,80.56,78,34,9.33,AS,1682286291,No hotel found
414,414,freetown,8.484,-13.2299,80.65,79,1,10.38,SL,1682286291,Formal Leona hotel
436,436,fale old settlement,-9.3852,-171.2468,83.57,74,21,5.08,TK,1682286295,No hotel found
459,459,manokwari,-0.8667,134.0833,78.64,79,33,2.06,ID,1682286299,Hotel Arfak
467,467,lagarto,-10.9172,-37.65,72.99,80,13,4.61,BR,1682286300,Pousada Santa Cruz
470,470,montoro,38.0241,-4.3834,72.18,42,4,3.09,ES,1682286301,Hostal Restaurante Montoro
474,474,rondonopolis,-16.4708,-54.6356,74.41,87,49,1.25,BR,1682286168,Hotel Sumaré
480,480,colonia menno,-22.3667,-59.8167,72.68,52,0,6.4,PY,1682286304,Hotel Mora
481,481,laguna,38.421,-121.4238,81.28,40,0,9.22,US,1682286304,Holiday Inn Express & Suites
482,482,caleta de carquin,-11.0925,-77.6267,77.34,74,19,11.45,PE,1682286304,Hotel Mi Choacan
494,494,tolanaro,-25.0319,46.9987,77.07,83,20,6.91,MG,1682286306,Hôtel Mahavokey
514,514,sihanoukville,10.6093,103.5296,78.75,94,40,4.61,KH,1682286309,Papagayo Guesthouse
520,520,bintulu,3.1667,113.0333,79.21,94,20,0.0,MY,1682286310,Bakun Inn
521,521,lazaro cardenas,17.9583,-102.2,83.97,58,3,8.77,MX,1682286311,Hotel Sol del Pacífico
540,540,kuala belait,4.5833,114.1833,78.96,91,44,4.0,BN,1682286314,Hotel Sentosa
555,555,waingapu,-9.6567,120.2641,77.4,87,34,9.86,ID,1682286317,HOTEL SANDLEWOOD
560,560,mahavelona,-17.6848,49.5087,73.38,93,28,4.12,MG,1682286318,Silouette
